#,Question,Option A,Option B,Option C,Option D,Correct Answer
59,Radiotherapy dose distribution is optimized using:,PET only,Ultrasound,EEG,CT imaging,D) CT imaging
60,Surface EMG is less precise than:,EEG,Intramuscular EMG,PET,ECG,B) Intramuscular EMG
61,Gradient echo sequence is sensitive to:,Susceptibility effects,Ultrasound reflection,T1 only,Noise,A) Susceptibility effects
62,Standard limb leads in ECG:,V1–V6,All of the above,"I, II, III","aVR, aVL, aVF","C) I, II, III"
63,What property of sound waves acts like the principle of ultrasound?,Reflection only,Reflection and Refraction,Refraction only,Propagation,B) Reflection and Refraction
64,EEG artifact from blinking appears as:,Beta activity,Sharp spikes,Slow waves in frontal leads,Delta rhythm,C) Slow waves in frontal leads
65,MRI main magnetic field strength is:,100 T,1–3 T typically,0.1 T,10 T,B) 1–3 T typically
66,"In radiation therapy, bolus is used to:",Increase dose at surface,Decrease total dose,Shield organs,Improve MRI contrast,A) Increase dose at surface
67,"In SPECT, collimator resolution affects:",Depth only,Photon energy,Spatial resolution,MRI signal,C) Spatial resolution
68,"In EEG, delta waves are predominant in:",Awake state,Alert activity,Relaxed wakefulness,Deep sleep,D) Deep sleep
69,"In T2-weighted MRI images, water appears:",Grey,Dark,Black,Bright,D) Bright
70,Ultrasound frequency affects:,Depth and resolution,Magnetic field,PET tracer uptake,Radiation dose,A) Depth and resolution
71,"A ship sends ultrasound that returns from seabed and is detected after 3.42 s. If speed of ultrasound through seawater is 1300 m/s, then distance of seabed from ship would be",2200 m,2600 m,2800 m,3000 m,A) 2200 m
72,PR interval represents:,None,Atrial repolarization,Conduction from SA to AV node,Ventricular contraction,C) Conduction from SA to AV node
73,ST segment elevation indicates:,Myocardial infarction,AV block,Normal variant,Myocardial ischemia,A) Myocardial infarction
74,QT prolongation may lead to:,Torsades de pointes,Bradycardia,Stroke,Pulmonary embolism,A) Torsades de pointes
75,Half-value layer (HVL) indicates:,Ultrasound velocity,Beam penetration,MRI field strength,PET tracer decay,B) Beam penetration
76,"What is the relation between 1 Rad, 1 Rem and 1 R?",1 Rad ≈ 1.5 Rem ≈ 1000 R,1 Rad ≈ 1 Rem ≈ 1 R,1 Rad ≈ 10 Rem ≈ 1.8 R,1 Rad ≈ 10 Rem ≈ 100 R,B) 1 Rad ≈ 1 Rem ≈ 1 R
77,EMG measures:,Lung pressure,Heart electrical activity,Brain activity,Muscle electrical activity,D) Muscle electrical activity
78,Bioimpedance measures:,Blood pressure,Heart rate,Electrical activity of brain,Electrical resistance of body tissues,D) Electrical resistance of body tissues
79,PET measures:,Anatomy only,Magnetic susceptibility,Ultrasound reflection,Metabolic activity,D) Metabolic activity
80,Gray (Gy) measures:,Radiation exposure,Magnetic field,Dose equivalent,Absorbed dose,D) Absorbed dose
81,Depolarization occurs when:,Cl- enters the cell,Ca2+ exits the cell,K+ enters the cell,Na+ enters the cell,D) Na+ enters the cell
82,Alpha particles are:,High-penetration radiation,"Low-penetration, highly ionizing",Neutrons,Electrons,"B) Low-penetration, highly ionizing"
83,ALARA principle in radiology means:,Maximize radiation,Keep exposure 'As Low As Reasonably Achievable',Ignore safety,Increase contrast,B) Keep exposure 'As Low As Reasonably Achievable'
84,Optically stimulated luminescence (OSL) dosimeters are:,MRI coils,Single-use only,Reusable,Ultrasound probes,C) Reusable
85,Capnography measures:,Nitrogen,Oxygen,Carbon dioxide in exhaled air,pH,C) Carbon dioxide in exhaled air
86,Doppler angle affects:,Flow velocity measurement,X-ray attenuation,EEG amplitude,MRI T1,A) Flow velocity measurement
87,The speed of migration of ions in an electric field depends on,Magnitude of charge and mass of molecules,Shape and size of the molecule,Magnitude of charge and shape of molecules,"Magnitude of charge, shape and mass of molecules","D) Magnitude of charge, shape and mass of molecules"
88,Low LET radiation includes:,Neutrons,"Beta, X-ray, gamma",Alpha particles,Protons,"B) Beta, X-ray, gamma"
89,Action potential amplitude in large myelinated fibers is:,Larger than small fibers,Same as unmyelinated,Zero,Smaller than small fibers,B) Same as unmyelinated
90,CT scan imaging is based on:,X-ray attenuation,Ultrasound reflection,MRI,Nuclear resonance,A) X-ray attenuation
91,Spatial resolution in nuclear medicine is limited by:,Sound frequency,Gradient strength,Detector size and collimator design,Tube voltage,C) Detector size and collimator design
92,Repolarization occurs when:,K+ exits,Na+ enters,Cl- enters,Ca2+ enters,A) K+ exits
93,Acoustic impedance depends on:,X-ray absorption,Electrode placement,Tissue density and sound velocity,Magnetic field,C) Tissue density and sound velocity
94,The main advantage of PET over SPECT is:,Higher resolution and quantification,No radioactivity,Lower cost,No need for detectors,A) Higher resolution and quantification
95,The range of frequency used for medical ultrasound is,20–200 kHz,1–20 MHz,1–10 kHz,100–1000 MHz,B) 1–20 MHz
96,Cardiac stress testing is used to detect:,Arrhythmia only,Resting heart rate,Ischemia during exercise,Blood pressure,C) Ischemia during exercise
97,Standard ECG leads are:,3,6,12,9,C) 12
98,Electrode impedance in ECG should be:,High,Irrelevant,Low,Variable,C) Low
99,Linear accelerator in radiotherapy produces:,Ultrasound,High-energy X-rays,Gamma rays only,MRI signals,B) High-energy X-rays
100,Radiotherapy planning often uses:,Ultrasound only,CT and MRI,MRI only,X-ray alone,B) CT and MRI
101,Beta waves in EEG are associated with:,Sleep,Relaxed state,Active thinking and alertness,Coma,C) Active thinking and alertness
102,PET/CT combines:,Ultrasound and CT,MRI and X-ray,Metabolic and anatomical imaging,EEG and EMG,C) Metabolic and anatomical imaging
103,Artifacts in ultrasound include:,Photon scatter,Reverberation,Magnetic interference,Motion blur,B) Reverberation
104,Ionizing radiation interacts with tissue via:,Ultrasound reflection,Doppler shift,MRI,Photoelectric effect,D) Photoelectric effect
105,The main advantage of digital radiography over conventional film is:,Longer processing time,Lower resolution,Higher radiation dose,Faster image acquisition,D) Faster image acquisition
106,FEV1/FVC ratio is used to detect:,Liver function,Heart disease,Kidney function,Obstructive vs restrictive lung disease,D) Obstructive vs restrictive lung disease
107,The most common type of gel used for DNA separation is,All of the above,Agarose,Polyacrylamide,Agar,B) Agarose
108,Electrophoresis was developed by:,Sanger,Tsvedberg,Tswett,Tiselius,D) Tiselius
109,The unit of absorbed dose in SI is:,Rad,Curie,Rem,Gray,D) Gray
110,The resolution of ultrasound imaging depends on:,Wavelength,Tissue color,Temperature,Electrical voltage,A) Wavelength
111,The resolution in MRI is mainly limited by:,Frequency of ultrasound,Gamma ray intensity,Wavelength of X-ray,Signal-to-noise ratio,D) Signal-to-noise ratio
112,"In ECG, standard limb leads are:",V1–V6,All of the above,"aVR, aVL, aVF","I, II, III","D) I, II, III"
113,Grid in radiography:,Enhances signal,Detects ultrasound,Produces X-rays,Absorbs scattered radiation,D) Absorbs scattered radiation
114,Capnography waveform shows:,Exhaled CO2,Blood pressure,Heart rate,Arterial oxygen,A) Exhaled CO2
115,Half-life of a radionuclide is:,Time for half of nuclei to decay,Time for energy release,Time for radiation to stop,Time for activity to double,A) Time for half of nuclei to decay
116,X-ray contrast is enhanced by:,Ultrasound gel,Low field MRI,High photon energy,Iodine-based agents,D) Iodine-based agents
117,Windowing in CT adjusts:,Brightness and contrast,Ultrasound penetration,Radiation dose,Scan time,A) Brightness and contrast
118,The source-to-image distance (SID) affects:,Image magnification and sharpness,X-ray wavelength,Tube current,Patient heart rate,A) Image magnification and sharpness
119,High-LET radiation is:,More damaging,Only gamma rays,Less damaging,Only X-rays,A) More damaging
120,"In EEG, spike-and-wave pattern is typical for:",Muscle artifact,Focal seizure,Beta rhythm,Absence seizure,D) Absence seizure
121,Ultrasound gel is used to:,Increase wavelength,Improve Doppler shift,Reduce impedance mismatch,Cool the transducer,C) Reduce impedance mismatch
122,The two known units of radioactivity and the relation between the two are _______,Curie and Becquerel 1 Bq = 3.7 x 10¹⁰ Ci,Curie and Becquerel 1 Ci = 3.7 x 10¹⁰ Bq,Curie and Roentgens 1 Ci = 1000 R,Roentgen and Becquerel 1 R = 1000 Bq,B) Curie and Becquerel 1 Ci = 3.7 x 10¹⁰ Bq
123,Time-gain compensation (TGC) in ultrasound corrects for:,Attenuation with depth,MRI artifacts,Doppler shift,Variation in beam frequency,A) Attenuation with depth
124,Which of the following is true about X-rays?,They are mechanical waves,They are electromagnetic waves,They are sound waves,They are longitudinal waves,B) They are electromagnetic waves
125,Lead shielding in X-ray protects:,Staff only,MRI coils,Both patient and staff,Patient only,C) Both patient and staff
126,"In electrophoresis, DNA will migrate towards",Cathode or positive electrode,Anode or negative electrode,Anode or positive electrode,Cathode or negative electrode,C) Anode or positive electrode
127,Which of the following is used to measure the biological damage caused by radiation?,Roentgens,Rem,Curie,Rad,B) Rem
128,Which is the non-ionizing imaging technique?,PET scan,MRI,CT scan,X-ray,B) MRI
129,"In fluoroscopy, real-time imaging is achieved using:",Gamma camera,Ultrasound,X-ray,MRI,C) X-ray
130,"In cardiology, stress echocardiography assesses:",Bone density,Heart valves and function under stress,Liver function,Brain activity,B) Heart valves and function under stress
131,Radiographic contrast increases with:,Low mA,High kVp,Low kVp,High kVp and contrast media,C) Low kVp
132,What is the frequency range of the sound used for ultrasound diathermy?,0.1 – 0.7 MHz,3.3 – 5 MHz,0.7 – 3.3 MHz,5 – 15 MHz,C) 0.7 – 3.3 MHz
133,EMG detects:,Blood pressure,Muscle electrical activity,Brain waves,Heart rate,B) Muscle electrical activity
134,Half-life of a radioactive substance is:,Time taken for half the atoms to move,Time taken for activity to disappear,Time taken for activity to decrease by half,Time taken for activity to double,C) Time taken for activity to decrease by half
135,Delta rhythm in EEG is:,0.5–4 Hz,8–13 Hz,13–30 Hz,4–7 Hz,A) 0.5–4 Hz
136,Reflex latency in EMG testing indicates:,Heart rate,Muscle strength,Synaptic and nerve conduction time,ECG interval,C) Synaptic and nerve conduction time
137,Precordial leads in ECG:,Limb leads,V1–V6,I–III,aVR–aVF,B) V1–V6
138,"In EEG, alpha waves are predominant in:",Deep sleep,Active mental task,Epileptic seizure,Relaxed wakefulness,D) Relaxed wakefulness
139,Diffusion-weighted MRI is used to detect:,Ischemic stroke,Pulmonary embolism,Bone fractures,Heart valve defects,A) Ischemic stroke
140,Piezoelectric crystal converts:,Electrical energy into light energy,Chemical energy into electrical energy,Sound energy into magnetic energy,Mechanical energy into electrical energy,D) Mechanical energy into electrical energy
141,EEG electrodes follow:,6-lead system,12-lead system,32-lead system,10–20 system,D) 10–20 system
142,Photoelectric effect in X-rays occurs predominantly with:,High atomic number elements,Low atomic number elements,Gases only,Water,A) High atomic number elements
143,Which of the following factors does not influence electrophoretic mobility?,Molecular weight,Shape of molecule,Size of molecule,Stereochemistry of molecule,D) Stereochemistry of molecule
144,The QRS duration normally is:,80–120 ms,120–200 ms,<80 ms,>200 ms,A) 80–120 ms
145,"Ultrasound is also useful for detecting fault in metal sheets, imaging marine depths, looking for metals beneath the earth's surface, detecting distances, detecting earthquakes","ii, iii","i, iv, v","ii, iii, v","i, ii, iv","D) i, ii, iv"
146,Standard ECG calibration is:,0.1 mV/mm,5 mV/cm,10 mV/mm,1 mV/cm,D) 1 mV/cm
147,"In nerve conduction studies, distal latency reflects:",Axon diameter,Conduction through distal segment,Muscle fatigue,Brain activity,B) Conduction through distal segment
148,For what all purposes is diathermy principal used?,Surgical and Therapeutic,Therapeutic and Diagnostic,Diagnostic and Surgical,Diagnostic and Rehabilitative,A) Surgical and Therapeutic
149,Common PET isotope ^18F has half-life:,110 minutes,6 hours,24 hours,1 hour,A) 110 minutes
150,T2-weighted MRI images highlight:,Fat,Air,Water/edema,Bone,C) Water/edema
151,LET (linear energy transfer) affects:,Ultrasound reflection,MRI SNR,Tissue penetration,Biological effect per unit dose,D) Biological effect per unit dose
152,Compton scattering occurs when:,High-energy photons are absorbed,Coherent reflection occurs,Low-energy photons interact with outer electrons,Pair production happens,C) Low-energy photons interact with outer electrons
153,MRI Larmor frequency depends on:,Tissue density,X-ray tube voltage,RF power,Magnetic field,D) Magnetic field
154,"In radiotherapy, the target volume is defined as:",Volume of tumor,Entire body,Volume of organs only,Volume of healthy tissue,A) Volume of tumor
155,Increasing mA in X-ray increases:,Magnetic resonance,Number of photons,Ultrasound amplitude,Photon energy,B) Number of photons
156,Continuous-wave Doppler cannot:,Detect blood flow,Measure peak velocity,Detect valve stenosis,Localize exact depth,D) Localize exact depth
157,What cannot be a reason for using electrophoresis?,Organizing DNA by shape of backbone,Organizing DNA in order we can see,Comparing two sets of DNA,Organizing DNA fragments from largest to smallest,A) Organizing DNA by shape of backbone
158,The types of therapeutic diathermy machines that exist are ___________,"Short wave, ultrasound and cold compress","Electrical impulse, microwave and ultrasound","Short wave, micro wave and ultrasound","Cold compress, microwave and electrical impulse","C) Short wave, micro wave and ultrasound"
159,ST-segment elevation is a marker of:,Acute myocardial infarction,Arrhythmia,Hyperkalemia,Hypertension,A) Acute myocardial infarction
160,"In T1-weighted MRI images, fat appears:",Bright,Black,Dark,Grey,A) Bright
161,Action potential propagation is:,Electrical conduction along axon,Ultrasound wave,Muscle contraction,Blood flow,A) Electrical conduction along axon
162,Fractionated radiotherapy reduces:,Scan time,Tumor effect,Normal tissue damage,Radiation energy,C) Normal tissue damage
163,Deterministic effects appear:,After decades,Randomly,Above threshold dose,Below threshold dose,C) Above threshold dose
164,Functional MRI BOLD signal reflects:,Tissue density,Blood oxygenation level,Ion concentration,Electrical activity,B) Blood oxygenation level
165,Electromyography (EMG) measures:,Muscle electrical activity,Heart electrical activity,Brain electrical activity,Lung function,A) Muscle electrical activity
166,X-ray tube voltage affects:,Magnetic field,Ultrasound frequency,Image contrast,Photon energy,D) Photon energy
167,Beta particles are:,Protons,Neutrons,Gamma rays,Electrons or positrons,D) Electrons or positrons
168,The term 'windowing' in CT refers to:,Opening X-ray tube,Adjusting brightness and contrast,Positioning patient,Changing slice thickness,B) Adjusting brightness and contrast
169,EMG needle electrodes are used for:,Surface recording,Heart monitoring,Intramuscular recording,Brain activity,C) Intramuscular recording
170,Radiopharmaceuticals are used in:,CT,PET and SPECT,MRI,Ultrasound,B) PET and SPECT
171,A technique which separates charged particles using electric field is,Electrophoresis,Hydrolysis,Protein denaturing,Protein synthesis,A) Electrophoresis
172,When is electrophoresis not used?,Separation of amino acids,Separation of lipids,Separation of nucleic acids,Separation of proteins,B) Separation of lipids
173,Synaptic delay is approximately:,10 ms,1 ms,0.1 ms,100 ms,B) 1 ms
174,Which of the following statements is true about migration of biomolecules?,Rate of migration is inversely proportional to current,Low voltage is used for separation of high mass molecules,The rate of migration is directly proportional to the resistance of medium,Rate of migration is directly proportional to current,D) Rate of migration is directly proportional to current
175,Chest leads in ECG are:,aVR–aVF,V1–V6,None,I–III,B) V1–V6
176,QT interval represents:,Atrial depolarization,Ventricular depolarization only,Ventricular depolarization and repolarization,Atrial repolarization,C) Ventricular depolarization and repolarization
177,EMG amplitude reflects:,Number of active motor units,Oxygen saturation,Conduction velocity,Heart activity,A) Number of active motor units
178,Echogenicity is:,Tissue absorption,Tissue reflection of ultrasound,Radiation dose,Bone density,B) Tissue reflection of ultrasound
179,"In ECG, P wave represents:",Atrial depolarization,Ventricular repolarization,Ventricular depolarization,Atrial repolarization,A) Atrial depolarization
180,CT number (HU) of water is:,100,0,1000,-100,B) 0
181,CT angiography uses:,X-ray with contrast,MRI,Ultrasound,PET,A) X-ray with contrast
182,SPECT imaging uses:,Magnetic resonance,Single photon emission,Ultrasound,Positron emission,B) Single photon emission
183,"In bioimpedance, fat tissue has:",High resistance,Zero resistance,Infinite resistance,Low resistance,A) High resistance
184,Nerve conduction velocity decreases in:,Neuropathy,Healthy nerves,ECG,Muscle fatigue,A) Neuropathy
185,Holter monitoring records ECG for:,24–48 hours,Minutes,Seconds,Weeks,A) 24–48 hours
186,Ventricular fibrillation is:,Organized contraction,"Disorganized, life-threatening rhythm",Normal variant,Slow heart rate,"B) Disorganized, life-threatening rhythm"
187,CMAP amplitude reflects:,Muscle contraction strength,Nerve myelination,ECG QRS,Brain activity,A) Muscle contraction strength
188,What is the role of SDS in SDS-PAGE?,Imparting overall negative charge to the protein,Imparting equal mass to all proteins,Protein denaturing and imparting net negative charge,Protein unfolding and imparting net positive charge,C) Protein denaturing and imparting net negative charge
189,Which imaging modality uses positron emission?,SPECT,PET,MRI,Ultrasound,B) PET
190,"In SDS-PAGE, separation is based on",Shape,All of the above,Molecular weight,Charge,C) Molecular weight
191,Scatter radiation reduces:,Slice thickness,Image contrast,Beam energy,Patient dose,B) Image contrast
192,Radioprotective agents reduce:,Radiation damage to tissues,Image contrast,Beam intensity,Radiation energy,A) Radiation damage to tissues
193,Grid ratio in radiography affects:,Scatter absorption,MRI T1,Ultrasound frequency,Spatial resolution,A) Scatter absorption
194,ECG paper speed is typically:,100 mm/s,25 mm/s,10 mm/s,50 mm/s,B) 25 mm/s
195,MRI signal intensity depends on:,Ultrasound frequency,X-ray tube current,Proton density and relaxation times,PET tracer concentration,C) Proton density and relaxation times
196,MRI safety contraindications include:,Pacemakers,All of the above,Cochlear implants,Metallic foreign bodies,B) All of the above
197,Bone appears on CT as:,Hyperdense,Hypodense,Dark gray,Isodense,A) Hyperdense
198,Synaptic transmission occurs at:,Node of Ranvier,Axon hillock,T-tubule,Synapse,D) Synapse
199,Spirometry measures:,Blood pressure,Heart rate,Lung volumes and airflow,Muscle activity,C) Lung volumes and airflow
200,Echogenicity in ultrasound imaging represents:,Blood flow,Tissue temperature,The ability of tissue to reflect ultrasound,Tissue density,C) The ability of tissue to reflect ultrasound
201,Thermoluminescent dosimeter (TLD) works by:,Absorbing photons and releasing light when heated,Ultrasound reflection,Generating magnetic field,Conducting electricity,A) Absorbing photons and releasing light when heated
202,Half-life of ^18F in PET is:,24 hours,12 hours,6 hours,110 minutes,D) 110 minutes
203,Filtration in X-ray tubes is used to:,Increase scatter,Increase patient dose,Remove low-energy X-rays,Decrease tube voltage,C) Remove low-energy X-rays
204,What does ALARA principle stand for?,As Low As Reasonably Achievable,As Low As Radiation Appears,As Light As Radiant Area,As Long As Radiation Accumulates,A) As Low As Reasonably Achievable
205,Beyond what dose does the cerebral system show signs of failure?,25 – 200 rad,200 – 600 rad,600 – 1000 rad,> 1000 rad,D) > 1000 rad
206,Conduction velocity is slowed in:,Healthy nerves,Demyelinating neuropathy,Pacemaker patients,Myopathy,B) Demyelinating neuropathy
207,"In the induction field diathermy, the heating effects are done by",Using magnetic field,Using an electric field,Made of metal that is shaped into a coil,Induce an electrical current within body parts,D) Induce an electrical current within body parts
208,"In CT, beam hardening artifacts result from:",Polychromatic X-ray spectrum,MRI interference,Photon scatter,Ultrasound reflection,A) Polychromatic X-ray spectrum
209,Compton scattering dominates in:,Ultrasound,Low-energy X-rays,MRI,Diagnostic to high-energy X-rays,D) Diagnostic to high-energy X-rays
210,"In gamma camera imaging, which isotope is commonly used?",Iodine-131,Technetium-99m,Radon-222,Carbon-14,B) Technetium-99m
211,The principle of nuclear medicine imaging is:,Detection of gamma rays from radiotracers,Ultrasound reflection,External magnetic field,X-ray attenuation,A) Detection of gamma rays from radiotracers
212,"In Doppler ultrasound, red shift indicates:",No flow,Turbulent flow,Flow away from the transducer,Flow towards the transducer,D) Flow towards the transducer
213,Signal-to-noise ratio (SNR) in MRI improves with:,Lower field strength,Lower voxel size,Faster scan,Higher field strength,D) Higher field strength
214,Myelin increases:,Conduction velocity,CT contrast,Muscle strength,EEG amplitude,A) Conduction velocity
215,"In radiation therapy, megavoltage photons penetrate:",Only bone,Deep tissue,Superficial tissue,Only air,B) Deep tissue
216,Ionizing radiation can damage tissues primarily by:,Pressure,Heating,Magnetism,Ionization of molecules,D) Ionization of molecules
217,MRI safety: quenching occurs when:,Coil detunes,RF fails,Magnet warms rapidly,Gradient fails,C) Magnet warms rapidly
218,Radiographic magnification occurs when:,Patient is closer to detector,Tube voltage decreases,Patient is farther from detector,Tube current increases,C) Patient is farther from detector
219,CT spatial resolution is limited by:,Patient age,Gradient field,RF coil,Detector size and focal spot,D) Detector size and focal spot
220,MRI images are formed based on:,Ultrasound reflection,Nuclear magnetic resonance,X-ray absorption,Gamma emission,B) Nuclear magnetic resonance
221,Beta waves in EEG indicate:,Active thinking and attention,Muscle artifact,Sleep,Resting state,A) Active thinking and attention
222,Pacemaker spikes in ECG indicate:,Atrial or ventricular stimulation,Heart block,Ventricular repolarization,Artifact,A) Atrial or ventricular stimulation
223,Ultrasonic waves carry more,Both frequency and energy,Energy,Heat,Frequency,A) Both frequency and energy
224,Half-life of ^99mTc is:,24 hours,1 hour,6 hours,12 hours,C) 6 hours
